income,age,gender,education_level
47724,40,1,3.0
61331,38,0,3.0
36134,29,0,1.0
21465,38,0,1.0
59034,51,0,2.0
42495,35,1,2.0
20883,32,1,1.0
45566,18,0,2.0
50492,29,1,3.0
37834,36,1,1.0
41433,40,1,2.0
43894,23,0,1.0
29623,25,0,2.0
49339,40,1,1.0
36610,33,1,2.0
53162,41,0,1.0
42634,21,1,1.0
32277,38,0,1.0
52530,35,0,2.0
55641,43,0,1.0
45453,18,0,3.0
49085,61,1,2.0
50408,56,1,3.0
35973,28,0,1.0
46474,31,1,1.0
46362,27,0,2.0
35333,32,0,0.0
37307,21,1,2.0
58525,28,1,3.0
29263,21,0,
47850,26,0,2.0
23524,39,1,0.0
43462,25,0,1.0
20687,32,0,0.0
75305,46,1,2.0
30785,32,1,2.0
51599,49,0,3.0
30068,18,0,2.0
31152,36,1,1.0
36814,25,0,1.0
23734,29,1,1.0
15000,28,1,1.0
53248,49,0,1.0
50889,64,0,1.0
47283,21,1,0.0
47164,29,1,2.0
51193,34,1,3.0
37522,39,0,1.0
24659,37,1,2.0
57166,45,1,2.0
54136,55,0,3.0
31057,18,1,2.0
35503,21,1,2.0
45248,34,1,2.0
54710,52,1,1.0
39731,25,0,2.0
46366,39,0,3.0
25009,22,0,2.0
43683,26,1,2.0
40729,35,0,1.0
20236,38,1,2.0
59410,44,0,3.0
47081,37,0,3.0
25666,31,1,1.0
51422,19,0,2.0
42149,35,0,2.0
42304,35,0,2.0
52381,39,0,2.0
27668,33,0,3.0
33881,31,0,1.0
39910,37,1,1.0
49359,53,1,0.0
49832,27,0,1.0
45574,39,0,0.0
24147,26,0,1.0
39007,26,0,2.0
28846,22,1,2.0
40229,38,1,2.0
17354,38,0,0.0
25832,39,1,3.0
36741,22,0,2.0
27216,30,1,1.0
44174,31,1,1.0
31337,24,0,2.0
37520,39,1,2.0
37080,22,0,2.0
17420,39,1,2.0
39606,41,1,2.0
45117,26,1,1.0
41782,39,0,2.0
41765,33,1,2.0
33480,28,0,1.0
42016,38,0,2.0
31855,28,0,2.0
65389,35,0,1.0
34498,39,1,2.0
46753,33,1,2.0
48223,43,1,0.0
47233,26,0,1.0
42079,33,1,1.0
44179,31,0,2.0
39933,38,0,2.0
51542,64,0,3.0
44469,30,0,2.0
30605,26,1,3.0
41450,35,0,2.0
38869,37,0,2.0
91955,43,1,2.0
38627,28,0,1.0
55510,29,0,2.0
34544,20,0,1.0
15000,28,1,1.0
48754,30,0,2.0
53698,36,0,2.0
36000,32,1,1.0
33194,30,0,1.0
45045,42,1,3.0
48421,33,1,3.0
27754,32,0,1.0
39505,25,0,2.0
45829,27,0,2.0
25265,24,0,3.0
40959,27,0,2.0
37846,36,0,2.0
43056,26,0,1.0
42267,21,0,1.0
55563,61,0,3.0
90809,45,1,2.0
37128,31,1,2.0
46807,44,0,2.0
55165,64,0,1.0
46951,21,0,1.0
35066,33,1,3.0
55479,42,1,3.0
54825,61,0,1.0
29307,37,1,2.0
44810,41,1,2.0
42280,33,1,3.0
39018,32,0,1.0
40954,36,0,1.0
24586,31,0,1.0
38465,20,0,2.0
34352,20,0,0.0
48260,34,0,1.0
40932,19,1,3.0
43663,32,1,2.0
26684,33,1,1.0
55661,32,1,3.0
34826,38,1,1.0
58277,63,0,1.0
31592,20,0,3.0
45272,36,1,2.0
33117,29,0,2.0
53424,52,1,2.0
34477,30,1,3.0
49623,40,1,2.0
47318,38,1,1.0
38761,44,0,1.0
43975,26,0,1.0
29009,21,0,1.0
37155,35,0,2.0
25943,28,0,0.0
50367,63,1,3.0
47692,30,1,2.0
22594,20,1,0.0
56527,27,0,1.0
22870,31,1,0.0
15000,37,1,0.0
29411,37,0,3.0
52592,57,1,2.0
38823,40,0,2.0
43519,40,0,1.0
44798,44,0,2.0
52654,26,0,2.0
23113,34,1,0.0
35887,33,1,2.0
33489,23,0,2.0
33946,33,0,2.0
50855,30,0,3.0
49858,59,0,1.0
34493,28,0,2.0
52306,55,0,2.0
54186,51,0,2.0
22148,34,0,1.0
24438,39,1,0.0
40984,24,0,1.0
36052,26,0,2.0
52720,46,0,3.0
61828,58,0,2.0
42708,39,1,1.0
62192,55,0,3.0
46982,43,1,3.0
33432,34,0,1.0
33062,24,0,1.0
35283,18,1,2.0
50444,43,1,2.0
50535,28,1,1.0
41932,22,1,2.0
33180,22,0,2.0
34205,24,1,0.0
39298,41,1,2.0
34827,24,1,1.0
47167,33,0,3.0
38917,41,0,1.0
79491,45,0,3.0
42518,29,1,0.0
30904,18,0,2.0
34546,37,1,2.0
51899,49,0,0.0
40527,27,0,3.0
37701,22,0,3.0
43971,40,0,2.0
41719,33,0,2.0
28205,20,1,2.0
35529,32,0,1.0
59501,58,1,3.0
46422,21,0,2.0
41573,29,1,2.0
34311,39,0,0.0
35471,34,0,2.0
42566,30,1,2.0
43588,26,0,1.0
56829,47,0,3.0
16516,27,1,0.0
40402,44,0,2.0
47191,42,1,3.0
41172,25,0,2.0
47797,39,0,2.0
46940,36,1,2.0
32990,31,1,1.0
33911,18,1,2.0
30127,23,1,2.0
44784,31,1,3.0
49674,54,1,2.0
36314,23,0,3.0
55828,43,0,2.0
46303,37,0,0.0
48046,25,0,2.0
50019,61,0,2.0
50008,59,0,2.0
61798,43,1,2.0
35433,20,1,1.0
20217,39,1,0.0
48288,21,0,2.0
42608,21,1,3.0
33098,24,1,1.0
56390,60,1,1.0
33284,31,0,1.0
61717,38,1,0.0
40331,18,1,2.0
34692,20,0,2.0
25312,22,0,3.0
26345,39,0,1.0
49967,45,1,2.0
29653,37,0,1.0
38220,27,0,2.0
34989,28,0,2.0
37472,34,0,1.0
43921,42,1,3.0
36270,19,0,3.0
39916,30,0,0.0
46226,30,0,3.0
49681,61,1,2.0
50616,57,0,1.0
38359,25,1,2.0
44848,35,0,3.0
22954,35,1,0.0
38674,39,1,2.0
27776,39,1,1.0
35460,19,1,2.0
41035,30,0,1.0
52210,47,1,3.0
36207,31,0,3.0
33381,19,1,2.0
44496,30,1,2.0
48438,37,0,2.0
34210,33,0,2.0
26689,36,0,1.0
43196,36,0,2.0
31176,37,1,1.0
42072,39,0,2.0
47177,25,0,0.0
33675,30,0,2.0
31596,20,0,2.0
39269,20,1,3.0
59078,63,1,2.0
42458,31,1,1.0
33202,32,1,2.0
50906,56,1,2.0
46773,33,0,2.0
46295,30,1,2.0
43251,37,1,2.0
35447,32,1,2.0
41628,30,1,2.0
39073,29,1,2.0
51458,31,0,1.0
19014,25,1,1.0
33350,28,0,2.0
29516,35,1,1.0
41078,30,0,0.0
25328,18,0,3.0
36589,30,0,3.0
51821,38,1,2.0
29798,31,1,2.0
45849,35,1,3.0
34377,28,1,1.0
46366,31,0,2.0
22873,20,0,1.0
48115,34,0,2.0
47222,29,0,3.0
43778,43,1,1.0
40002,28,1,1.0
45849,41,1,2.0
25093,19,0,2.0
50853,40,0,2.0
49062,28,1,1.0
15000,18,1,1.0
63539,38,0,1.0
39533,27,1,2.0
35563,26,1,2.0
34420,24,0,3.0
36935,26,0,2.0
39833,44,1,3.0
51091,45,1,0.0
33771,21,1,3.0
52481,42,1,2.0
43611,30,0,2.0
38790,32,0,1.0
42793,20,0,2.0
39478,38,0,2.0
27833,22,0,1.0
41781,28,0,3.0
43142,44,1,2.0
27498,23,0,2.0
41771,43,0,3.0
43364,39,0,1.0
46784,42,0,1.0
55320,31,1,2.0
27207,25,0,0.0
27982,18,1,1.0
49061,33,1,2.0
37763,28,0,2.0
28418,29,0,2.0
36665,38,0,2.0
15000,38,0,0.0
41166,37,1,2.0
49654,36,0,3.0
43985,34,0,1.0
38212,32,1,2.0
42511,31,0,3.0
35606,37,0,1.0
26706,37,0,
55031,25,1,2.0
53403,33,1,1.0
36949,21,0,2.0
42436,25,0,1.0
54788,52,0,3.0
41634,22,1,2.0
86747,43,1,1.0
52447,57,1,3.0
56987,48,0,3.0
39863,19,1,
43533,20,1,2.0
53090,63,0,3.0
43658,25,1,1.0
50947,22,1,2.0
43753,39,0,1.0
84488,46,1,3.0
42259,25,1,0.0
48219,34,0,2.0
49737,53,1,1.0
44266,28,0,2.0
21188,32,1,0.0
41567,19,0,1.0
32000,37,0,2.0
33135,31,1,1.0
25699,29,1,2.0
47113,28,1,2.0
45072,40,0,2.0
50452,42,1,1.0
32780,20,1,
34765,28,0,1.0
57473,28,0,2.0
55536,45,1,3.0
39796,28,0,2.0
39445,35,1,2.0
53706,51,0,2.0
48869,63,1,3.0
31979,28,1,1.0
34774,23,1,1.0
47260,41,0,2.0
41519,36,0,2.0
40863,29,1,3.0
29951,23,0,2.0
54013,54,0,3.0
19942,26,1,1.0
39250,33,0,2.0
36916,35,1,1.0
42213,36,1,1.0
39374,29,0,2.0
20842,33,0,2.0
44330,21,1,3.0
37674,41,1,2.0
24799,26,0,1.0
61575,25,0,2.0
39040,26,0,2.0
52807,27,1,2.0
50314,26,0,2.0
36025,27,0,1.0
38394,44,0,1.0
31200,31,0,0.0
52331,30,1,2.0
32242,22,1,3.0
15000,37,0,2.0
24249,31,0,1.0
42166,35,0,2.0
32674,35,0,3.0
33971,27,0,1.0
15000,31,1,0.0
30373,19,1,3.0
30550,29,1,2.0
21314,29,1,1.0
51112,44,0,3.0
30950,22,1,3.0
39154,31,1,0.0
45421,37,1,1.0
56174,37,0,1.0
35360,34,0,1.0
54992,35,1,3.0
15000,34,1,0.0
18284,34,0,1.0
35916,28,0,1.0
41405,39,1,1.0
41793,22,1,3.0
25283,37,0,0.0
43707,31,0,2.0
72917,29,0,2.0
44777,35,1,1.0
60402,43,0,2.0
39860,31,1,0.0
33969,20,0,2.0
35807,32,0,1.0
29854,19,0,2.0
49092,43,0,1.0
53182,33,1,2.0
44889,21,0,3.0
35889,23,0,2.0
43687,29,0,1.0
51680,38,1,1.0
43056,34,1,1.0
32939,36,1,2.0
39842,27,1,1.0
17820,27,1,2.0
28070,33,0,3.0
30608,32,1,2.0
39285,42,0,1.0
38525,35,0,1.0
34015,32,0,2.0
36133,20,0,2.0
65874,40,1,3.0
26346,35,0,2.0
18025,18,0,0.0
52494,36,0,3.0
40405,43,0,2.0
35341,30,0,1.0
53045,47,1,3.0
55727,29,1,2.0
51078,44,1,3.0
37465,42,1,2.0
37393,24,0,1.0
49348,59,0,0.0
54045,59,1,0.0
41840,32,0,3.0
34135,21,1,1.0
43351,33,0,3.0
34110,34,1,1.0
44179,40,0,2.0
29501,19,0,1.0
44902,35,0,2.0
39339,27,1,2.0
46289,28,1,3.0
49185,53,1,2.0
20190,24,1,0.0
29398,26,0,2.0
40340,34,1,2.0
30291,31,0,3.0
37567,25,0,1.0
39677,38,0,2.0
37977,27,1,2.0
59857,36,1,2.0
43138,33,1,3.0
28113,38,0,1.0
43979,23,0,1.0
46851,29,1,2.0
33980,24,1,2.0
37884,19,1,1.0
52353,38,0,1.0
42493,43,0,3.0
37443,35,1,2.0
49996,34,0,2.0
25899,24,1,3.0
32522,20,0,2.0
33139,20,1,3.0
55992,63,1,1.0
61710,40,1,3.0
40905,43,0,0.0
38425,30,0,2.0
54048,41,1,3.0
33326,34,0,2.0
33479,25,1,2.0
43789,18,1,2.0
45008,23,0,3.0
50698,61,0,1.0
51936,55,1,3.0
19839,36,0,0.0
57489,50,0,1.0
33335,23,1,2.0
43613,22,0,2.0
34951,35,1,2.0
52370,48,0,3.0
45925,41,1,2.0
32237,27,1,2.0
30530,30,1,0.0
52943,48,0,2.0
36168,26,1,1.0
50324,47,1,2.0
59730,51,1,3.0
37635,33,0,3.0
63961,62,0,1.0
34425,38,0,1.0
28891,24,0,1.0
49030,20,1,1.0
30936,33,1,0.0
48195,41,1,2.0
40653,29,0,3.0
44914,26,1,2.0
34576,35,1,3.0
46294,38,0,2.0
50487,28,0,1.0
34582,28,0,1.0
34501,29,1,1.0
59120,43,0,1.0
38558,38,0,1.0
31139,33,0,1.0
44158,36,1,1.0
34937,27,0,3.0
24754,24,0,1.0
29883,18,0,1.0
37578,31,0,1.0
25033,38,1,2.0
26556,25,0,3.0
44577,33,1,1.0
21349,22,1,1.0
64644,38,1,0.0
27516,36,1,2.0
54368,43,1,3.0
43357,27,0,2.0
32571,24,1,2.0
43042,38,1,1.0
46304,32,1,1.0
39916,25,1,1.0
25299,19,1,1.0
31073,36,1,1.0
42522,27,0,2.0
50642,40,0,1.0
35061,26,0,3.0
47595,36,1,1.0
50158,64,0,3.0
38878,32,1,1.0
35430,28,1,1.0
50157,59,1,1.0
39896,28,1,3.0
42832,35,1,2.0
38433,19,1,2.0
38382,30,1,2.0
34466,39,1,2.0
52189,38,1,2.0
47249,43,1,1.0
29881,36,0,2.0
34366,18,1,2.0
47490,36,1,2.0
41998,27,0,3.0
36813,33,0,2.0
53712,54,1,2.0
35832,37,0,1.0
58087,37,1,1.0
29508,22,0,1.0
48183,33,1,2.0
29797,27,0,1.0
48561,25,1,2.0
44910,23,1,1.0
30898,22,0,2.0
33471,20,0,2.0
30562,36,1,0.0
36740,37,0,1.0
36056,18,1,1.0
52356,31,0,3.0
34837,19,1,2.0
38182,37,0,2.0
43136,39,0,2.0
45077,42,0,0.0
46721,44,1,1.0
20766,23,0,1.0
41456,43,0,3.0
31244,38,0,1.0
40936,25,0,3.0
43316,35,0,1.0
40753,43,0,1.0
28003,19,0,3.0
54805,55,0,2.0
53048,37,0,3.0
39656,27,1,2.0
42982,40,0,2.0
36078,18,0,2.0
62749,54,1,1.0
34871,30,1,1.0
28527,19,1,3.0
45037,31,1,1.0
33311,37,0,1.0
20685,36,1,1.0
44253,25,0,2.0
55882,35,0,2.0
61540,51,0,3.0
29171,23,0,0.0
50436,28,0,2.0
41454,33,0,3.0
41787,32,1,2.0
52665,49,1,2.0
33130,30,1,1.0
37968,32,0,2.0
44308,40,0,3.0
53064,37,0,2.0
32361,38,0,2.0
40023,36,1,2.0
61783,40,0,1.0
44054,27,1,2.0
35077,39,0,1.0
54972,37,0,3.0
44428,33,1,0.0
27471,27,1,1.0
39875,34,0,1.0
42814,34,1,1.0
43953,28,1,1.0
38770,32,1,3.0
48567,32,0,1.0
44061,32,0,0.0
46130,38,0,1.0
37635,35,0,1.0
54636,30,1,3.0
43334,23,0,3.0
34902,31,0,2.0
15000,36,1,2.0
44724,37,1,1.0
40457,20,0,2.0
41248,40,0,1.0
39873,30,0,1.0
24268,18,1,1.0
40490,24,1,1.0
41190,37,1,1.0
35108,32,0,2.0
35209,29,1,1.0
30520,29,1,3.0
31364,25,1,1.0
35395,25,1,2.0
30354,18,1,2.0
25398,23,1,2.0
60487,61,0,2.0
34955,35,0,2.0
31686,26,1,2.0
47113,27,0,3.0
44751,30,0,0.0
31249,24,1,
36970,33,1,2.0
40263,18,0,3.0
16871,23,0,0.0
41176,27,0,3.0
37954,42,0,3.0
30291,35,1,2.0
47674,19,1,1.0
41193,33,1,2.0
42895,22,0,2.0
23195,24,1,1.0
24798,35,1,2.0
59972,40,0,2.0
30410,30,0,1.0
32069,28,1,1.0
27494,31,1,1.0
53227,21,0,3.0
32174,20,1,3.0
41896,28,0,2.0
33128,32,1,3.0
50123,36,1,3.0
46801,21,0,2.0
35198,19,1,1.0
40636,33,1,1.0
30945,23,0,1.0
19060,32,1,1.0
33147,22,1,2.0
36900,33,1,3.0
48536,30,1,2.0
61342,43,0,3.0
46706,25,0,2.0
49134,40,0,1.0
39118,27,1,2.0
44929,38,0,2.0
31229,36,0,2.0
30595,23,1,3.0
30506,29,1,2.0
41362,37,0,3.0
52990,28,0,0.0
51487,44,1,2.0
45071,35,1,3.0
40103,27,1,1.0
47746,36,0,1.0
46672,35,1,1.0
35467,29,0,2.0
40617,38,0,3.0
48768,23,1,1.0
45791,25,1,3.0
32878,25,1,1.0
21358,32,0,2.0
32415,23,1,1.0
42198,34,1,2.0
15497,38,0,2.0
29833,29,1,2.0
65048,53,1,3.0
37616,27,1,3.0
58561,44,0,0.0
29964,35,1,2.0
31224,28,1,2.0
36256,37,0,3.0
42966,24,1,3.0
37175,38,0,2.0
45504,35,0,2.0
27431,22,1,2.0
45830,39,1,3.0
53956,34,0,2.0
52995,26,1,1.0
23697,39,1,1.0
21220,19,1,1.0
79527,43,0,2.0
25542,19,1,3.0
41683,37,1,2.0
25895,34,1,3.0
54943,26,1,2.0
35846,21,0,3.0
47095,29,1,2.0
55616,54,1,1.0
51971,47,0,3.0
52691,21,0,2.0
17774,21,1,1.0
39490,44,1,2.0
37557,34,1,2.0
36363,26,0,1.0
51116,20,0,3.0
15000,35,1,2.0
42048,36,0,2.0
30434,29,1,2.0
54141,40,1,2.0
47255,39,1,1.0
53265,32,0,3.0
46993,40,1,2.0
36062,33,1,3.0
45316,31,0,1.0
55862,34,0,0.0
51933,40,0,3.0
40621,30,0,1.0
37780,41,0,1.0
45777,37,1,2.0
56750,32,0,2.0
19033,32,0,0.0
42074,35,0,2.0
43672,34,1,2.0
59775,27,0,1.0
41117,40,1,2.0
44580,19,0,1.0
61618,44,1,3.0
42961,37,1,2.0
88070,42,0,3.0
38075,38,1,2.0
29930,29,1,1.0
55114,26,0,
34337,19,1,1.0
52756,41,1,2.0
30324,20,0,1.0
18588,27,0,1.0
24600,31,0,
51217,53,0,1.0
32508,37,1,2.0
46532,22,0,1.0
46762,34,0,1.0
28330,21,1,0.0
53916,51,0,3.0
40003,39,1,2.0
54107,42,1,2.0
36046,26,1,2.0
31615,36,0,0.0
32433,32,1,2.0
37171,23,0,2.0
31828,26,0,1.0
37037,18,1,1.0
51642,44,0,2.0
22029,25,1,1.0
45746,29,0,0.0
29749,18,0,1.0
44886,34,1,2.0
31685,30,1,2.0
38796,23,0,3.0
39280,36,1,3.0
24860,37,0,1.0
33790,24,1,1.0
22176,19,0,0.0
30860,38,1,3.0
29322,22,0,2.0
42963,24,0,2.0
54000,56,1,2.0
40363,37,0,2.0
44774,29,0,1.0
30578,21,1,2.0
36329,31,1,3.0
50545,36,1,2.0
51428,60,0,3.0
28244,33,0,1.0
37058,39,0,1.0
31981,23,1,2.0
42458,33,0,2.0
38074,31,0,2.0
29314,28,1,1.0
41751,34,0,3.0
48524,34,1,1.0
36956,34,1,1.0
47784,39,1,2.0
32130,28,0,2.0
50183,59,0,2.0
54469,26,1,3.0
57977,37,0,2.0
51950,43,1,2.0
48074,39,0,2.0
50831,56,1,2.0
53060,38,0,3.0
31354,31,1,2.0
50085,46,0,2.0
45542,31,0,2.0
45625,33,0,3.0
38123,27,1,1.0
34543,37,0,1.0
29055,26,0,3.0
41492,32,0,1.0
23453,21,0,0.0
19584,25,1,0.0
45288,25,1,2.0
41266,33,1,0.0
38939,38,0,2.0
36795,26,1,2.0
45971,37,0,1.0
36350,34,0,2.0
43986,27,0,2.0
36050,22,1,3.0
41487,31,0,0.0
56417,29,0,3.0
30964,34,0,2.0
45263,34,0,1.0
52920,20,0,1.0
28956,24,0,3.0
40624,36,1,1.0
60438,38,1,3.0
48563,60,0,2.0
38442,37,0,2.0
36057,18,1,1.0
40928,37,1,2.0
37488,31,1,3.0
39649,29,1,1.0
21017,36,0,0.0
27415,34,0,1.0
29049,31,0,3.0
38433,34,0,2.0
43282,43,1,2.0
39108,44,1,1.0
45162,39,1,3.0
56035,28,1,0.0
26283,37,1,2.0
34321,26,0,0.0
45852,35,1,1.0
53707,58,0,2.0
40052,25,1,0.0
32562,31,1,3.0
54157,40,0,1.0
51128,32,1,2.0
45638,25,0,0.0
32776,28,0,1.0
50844,39,1,3.0
28152,25,1,3.0
26020,25,1,1.0
43652,31,0,1.0
43804,33,1,2.0
35575,23,0,1.0
34532,18,1,3.0
34838,36,0,2.0
51502,27,0,2.0
25693,35,0,2.0
25967,39,0,1.0
51084,47,1,2.0
40810,43,1,2.0
24004,21,1,0.0
44708,34,0,1.0
28104,19,1,1.0
26833,21,0,3.0
38690,26,1,2.0
46451,18,0,2.0
42131,26,1,1.0
39712,27,0,2.0
28926,22,0,3.0
50863,25,0,3.0
48455,36,1,2.0
35367,20,1,3.0
40655,35,1,1.0
43315,28,1,2.0
32598,34,0,2.0
35709,21,1,3.0
28389,38,1,2.0
36422,39,0,2.0
34468,20,1,2.0
35912,19,0,3.0
29128,18,0,2.0
33068,36,1,1.0
39784,26,1,2.0
61761,36,0,1.0
22547,34,0,0.0
40910,35,0,1.0
38041,29,0,3.0
35145,18,1,3.0
37131,39,0,1.0
40169,32,1,2.0
41020,28,0,1.0
42344,27,1,3.0
35134,38,0,1.0
27034,39,1,1.0
41774,22,0,2.0
30580,31,1,2.0
39948,32,0,1.0
52609,58,0,3.0
25204,27,1,1.0
40027,26,0,3.0
39278,20,1,3.0
32781,22,0,3.0
34978,25,1,2.0
29061,32,1,1.0
34317,34,0,2.0
29492,19,1,2.0
64240,42,0,3.0
47637,33,0,2.0
41209,25,0,3.0
47688,27,0,2.0
47646,30,0,1.0
52643,26,0,3.0
77140,43,1,2.0
34890,31,1,1.0
52468,33,0,2.0
35855,30,1,2.0
38970,32,0,1.0
39363,32,1,2.0
31131,29,0,3.0
46607,41,0,2.0
44107,33,1,2.0
49774,40,0,0.0
39618,31,0,
50042,46,1,2.0
25493,24,1,1.0
39747,26,1,2.0
56024,39,1,3.0
39707,37,0,2.0
43189,25,0,1.0
45704,33,1,1.0
36923,20,0,1.0
33773,33,0,2.0
44662,34,0,2.0
45509,28,0,2.0
31106,19,1,2.0
40804,36,1,2.0
40372,35,1,1.0
36475,39,1,2.0
29878,37,0,2.0
44602,28,0,3.0
41403,38,1,2.0
42913,34,0,1.0
39462,37,0,2.0
34295,35,1,2.0
41219,26,1,1.0
41012,30,0,1.0
